,Thread Title,Username,post date,linked post,thread post,thread_post_processed
70,SMU IS or SMU BIZ,ohgnod,"May 30, 2015",Employers really do prefer SMU SIS graduates with a GPA of 2.9+ that has an amazing/incredible portfolio/ experience over a Full GPA student that has a sub par one.,experience over a Full GPA student that has a sub par one.. I've always thought a good GPA = more opportunities? At least that was what my seniors in NUS told me.,experience over a full gpa student that has a sub par one i've always thought a good gpa = more opportunities at least that was what my seniors in nus told me
71,SMU IS or SMU BIZ,Revalina,"May 30, 2015","ohgnod said:
Wow, thanks for your reply! I've pretty much decided on IS. . I've always thought a good GPA = more opportunities? At least that was what my seniors in NUS told me.
Click to expand...","i, may i ask when was your interview?. Sent from North Pole using GAGT",i may i ask when was your interview sent from north pole using gagt
72,SMU IS or SMU BIZ,agenda,"May 30, 2015","ohgnod said:
Wow, thanks for your reply! I've pretty much decided on IS. . I've always thought a good GPA = more opportunities? At least that was what my seniors in NUS told me.
Click to expand...","Yes that is always the case. But don't be hoodwinked and think that low gpa is okay in SIS. You still need to go for a decent cum laude and have a strong portfolio   competitions, cca, leadership experience, internship etc.",yes that is always the case but don't be hoodwinked and think that low gpa is okay in sis you still need to go for a decent cum laude and have a strong portfolio   competitions cca leadership experience internship etc
73,SMU IS or SMU BIZ,Nosferato4,"May 30, 2015","ohgnod said:
Wow, thanks for your reply! I've pretty much decided on IS. . I've always thought a good GPA = more opportunities? At least that was what my seniors in NUS told me.
Click to expand...","
You're welcome! Yes, good GPA will definitely put you ahead and provide more opportunities, but holistic education matters too! Like what agenda said: Go do something to augment your good grades and gain experience/hands on.. Having a decent grade + excellent portfolio that you can showcase would put you ahead of the competition than some 1 who has just good grades alone!. . 
agenda said:
Yes that is always the case. But don't be hoodwinked and think that low gpa is okay in SIS. You still need to go for a decent cum laude and have a strong portfolio   competitions, cca, leadership experience, internship etc.","
you're welcome yes good gpa will definitely put you ahead and provide more opportunities but holistic education matters too like what agenda said: go do something to augment your good grades and gain experience/hands on having a decent grade + excellent portfolio that you can showcase would put you ahead of the competition than some 1 who has just good grades alone  
agenda said:
yes that is always the case but don't be hoodwinked and think that low gpa is okay in sis you still need to go for a decent cum laude and have a strong portfolio   competitions cca leadership experience internship etc"
74,SMU IS or SMU BIZ,MoxLotus,"May 30, 2015","Nosferato4 said:
Strong Technical knowlege aka technical competency is needed for u to do well in your job.","That is why i m pointing out to you that most IS people are not technically competent . Most of the technical mods taught in IS barely scratched the surface of the technical side of IT field.(not even enough for real world application).. From a business point of view, yes they might know the processes involved and know the general idea on how various technologies work. But asking them to tweak/implement is often too difficult for IS major students.. I am not too sure how often have you worked with IS student. As a CS student, I am in constant interaction with IS students. You may ask any IS major students in SMU/NUS, majority will tell you that the mods that pull their grades down are technical mods.. You may choose to take my words as a pinch of salt.",that is why i m pointing out to you that most is people are not technically competent  most of the technical mods taught in is barely scratched the surface of the technical side of it field(not even enough for real world application) from a business point of view yes they might know the processes involved and know the general idea on how various technologies work but asking them to tweak/implement is often too difficult for is major students i am not too sure how often have you worked with is student as a cs student i am in constant interaction with is students you may ask any is major students in smu/nus majority will tell you that the mods that pull their grades down are technical mods you may choose to take my words as a pinch of salt
75,SMU IS or SMU BIZ,MoxLotus,"May 30, 2015","ohgnod said:
I've always thought a good GPA = more opportunities? At least that was what my seniors in NUS told me.","If you have poor GPA, you will be filtered out immediately by the HR.. However, some will tell you that lower GPA does not mean that as long as you have good portfolio. This is only half of the truth. usually people with lower GPA and good portfolio gets referral from employees working in the company which will guarantee interviews. This means you will need to have a good connection to start with.",if you have poor gpa you will be filtered out immediately by the hr however some will tell you that lower gpa does not mean that as long as you have good portfolio this is only half of the truth usually people with lower gpa and good portfolio gets referral from employees working in the company which will guarantee interviews this means you will need to have a good connection to start with
76,SMU IS or SMU BIZ,ohgnod,"May 30, 2015","Revalina said:
Hi, may i ask when was your interview?",on the 22nd may!,on the 22nd may
77,SMU IS or SMU BIZ,agenda,"May 30, 2015","MoxLotus said:
That is why i m pointing out to you that most IS people are not technically competent . Most of the technical mods taught in IS barely scratched the surface of the technical side of IT field.(not even enough for real world application).. From a business point of view, yes they might know the processes involved and know the general idea on how various technologies work. But asking them to tweak/implement is often too difficult for IS major students.. I am not too sure how often have you worked with IS student. As a CS student, I am in constant interaction with IS students. You may ask any IS major students in SMU/NUS, majority will tell you that the mods that pull their grades down are technical mods.. You may choose to take my words as a pinch of salt.
Click to expand...","I agree with you on the technical competencies. IS students are not trained to become software engineers, very few can actually make it tbh, just for SMU alone, probably only 30% of the population.. IS is a course that prepares you to enter a BA/PM sort of job role. Btw, in most uni courses to get a shot at a good job, you need to have at least 3.6 gpa or 3.5 backed with a very exciting non academic resume.",i agree with you on the technical competencies is students are not trained to become software engineers very few can actually make it tbh just for smu alone probably only 30% of the population is is a course that prepares you to enter a ba/pm sort of job role btw in most uni courses to get a shot at a good job you need to have at least 36 gpa or 35 backed with a very exciting non academic resume
78,SMU IS or SMU BIZ,IAmZTX,"May 30, 2015", ,"Guys, i guess we have to stop entertaining the troll in this thread. Suggestions were given and TS have decided what is best for him.. No point arguing over two courses that has different goals. I also realize that this troll is always trying to play defensive and show bias toward other university course. We call him/her the ""MR KNOW IT ALL"".","guys i guess we have to stop entertaining the troll in this thread suggestions were given and ts have decided what is best for him no point arguing over two courses that has different goals i also realize that this troll is always trying to play defensive and show bias toward other university course we call him/her the ""mr know it all"""
79,SMU IS or SMU BIZ,MoxLotus,"May 30, 2015","IAmZTX said:
Guys, i guess we have to stop entertaining the troll in this thread. Suggestions were given and TS have decided what is best for him.. No point arguing over two courses that has different goals. I also realize that this troll is always trying to play defensive and show bias toward other university course. We call him/her the ""MR KNOW IT ALL"".
Click to expand...","Just because someone present a different view, it becomes troll. =). So who is trolling now?",just because someone present a different view it becomes troll =) so who is trolling now
80,SMU IS or SMU BIZ,agenda,"May 30, 2015","MoxLotus said:
If you have poor GPA, you will be filtered out immediately by the HR.. However, some will tell you that lower GPA does not mean that as long as you have good portfolio. This is only half of the truth. usually people with lower GPA and good portfolio gets referral from employees working in the company which will guarantee interviews. This means you will need to have a good connection to start with.
Click to expand...",This is the truth.. It's equivalent to someone telling you employers will hire a sim grad who work PT in a BAU bank position over a local fresh grad.,this is the truth it's equivalent to someone telling you employers will hire a sim grad who work pt in a bau bank position over a local fresh grad
81,SMU IS or SMU BIZ,MoxLotus,"May 30, 2015", ,"To the TS, this is my personal advice to you, take both business and IS. From what I know , SMU students are required to take 2 majors anyway.",to the ts this is my personal advice to you take both business and is from what i know  smu students are required to take 2 majors anyway
82,SMU IS or SMU BIZ,IAmZTX,"May 30, 2015","MoxLotus said:
Just because someone present a different view, it becomes troll. =). So who is trolling now?","And your point for replying in a different view? TS have stated what he applied for. He is looking for opinions whether he should accept SMU ISM offer. Not about your ""WHY CHOOSE SMU ISM when it is not technical competent compared to NUS CS""  > Which you really like to hear, NUS CS is the best.. If you have nothing to prove or never study in SMU ISM. I could suggest you to keep your opinions to yourself. Promoting your course online does not benefits other too. I'm sure you even discriminate your own family / relatives / team mates who did not perform as good as you. Let see how far you can achieve with that arrogant attitude of yours","and your point for replying in a different view ts have stated what he applied for he is looking for opinions whether he should accept smu ism offer not about your ""why choose smu ism when it is not technical competent compared to nus cs""  > which you really like to hear nus cs is the best if you have nothing to prove or never study in smu ism i could suggest you to keep your opinions to yourself promoting your course online does not benefits other too i'm sure you even discriminate your own family / relatives / team mates who did not perform as good as you let see how far you can achieve with that arrogant attitude of yours"
83,SMU IS or SMU BIZ,Nosferato4,"May 30, 2015","MoxLotus said:
To the TS, this is my personal advice to you, take both business and IS. From what I know , SMU students are required to take 2 majors anyway.","
Not true. Thr cirriculum is designed to encourage students to take double major. But one can still graduatr with single major.","
not true thr cirriculum is designed to encourage students to take double major but one can still graduatr with single major"
84,SMU IS or SMU BIZ,Nosferato4,"May 30, 2015","MoxLotus said:
That is why i m pointing out to you that most IS people are not technically competent . Most of the technical mods taught in IS barely scratched the surface of the technical side of IT field.(not even enough for real world application).. From a business point of view, yes they might know the processes involved and know the general idea on how various technologies work. But asking them to tweak/implement is often too difficult for IS major students.. I am not too sure how often have you worked with IS student. As a CS student, I am in constant interaction with IS students. You may ask any IS major students in SMU/NUS, majority will tell you that the mods that pull their grades down are technical mods.. You may choose to take my words as a pinch of salt.
Click to expand...","I disagree with you because if they are technically incompetent they wouldn't receive higher salary from the start and employers would certainly prefer to employ others outsise of IS. However that is not e case.. Most IS students i come across generally have good technical skills/knowledge. As for e real world application part, I have seen with my own eyes and i can say that they are succesful in what they are doing.. Maybe its the quality gap.",i disagree with you because if they are technically incompetent they wouldn't receive higher salary from the start and employers would certainly prefer to employ others outsise of is however that is not e case most is students i come across generally have good technical skills/knowledge as for e real world application part i have seen with my own eyes and i can say that they are succesful in what they are doing maybe its the quality gap
85,SMU IS or SMU BIZ,agenda,"May 30, 2015","lovedoctor said:
Hey, its year 2015. You need to come out of the cave you are living in.. Only 30% can make it? Got statistics to prove? No? Well I do.. SMU SIS overall employment rate :. 95.15%. . $3840. . . . 95.5% & 90.6%. . 
$3789 & 3712. 
:. 94.5%. 
:. $3304. 
To the OP: While good gpa does put u at an advantage, employers would generally hire smu SIS grads even when they have a substandard grade provided they have an AMAZING portfolio.. 
The best way to ensure ur marketability is to score a decent (at least) cum laude and build up on ur portfolio.
Click to expand...","Don't take my post out of context. No doubt the employability is very high.. What I'm talking about is, only 30% of these people are realy substantial software engineer material. The rest are not technically competent enough compared to CS.. The reason why the pay is higher is because IS is better fit in banks here than CS hence 50% of IS grads move to banks. Don't feel so butthurt about it, I'm from IS myself and I know how my batchmates compares in terms of technical competencies.. Btw, there's a misconception here. Most of the time, a person with an amazing portfolio would naturally have good gpa. The combination of bad gpa and good portfolio is very limited, probably 1 in 30 or 50. This is a harsh fact that everyone fails to acknowledge.",don't take my post out of context no doubt the employability is very high what i'm talking about is only 30% of these people are realy substantial software engineer material the rest are not technically competent enough compared to cs the reason why the pay is higher is because is is better fit in banks here than cs hence 50% of is grads move to banks don't feel so butthurt about it i'm from is myself and i know how my batchmates compares in terms of technical competencies btw there's a misconception here most of the time a person with an amazing portfolio would naturally have good gpa the combination of bad gpa and good portfolio is very limited probably 1 in 30 or 50 this is a harsh fact that everyone fails to acknowledge
86,SMU IS or SMU BIZ,MoxLotus,"May 30, 2015","agenda said:
Don't take my post out of context. No doubt the employability is very high.. What I'm talking about is, only 30% of these people are realy substantial software engineer material. The rest are not technically competent enough compared to CS.. The reason why the pay is higher is because IS is better fit in banks here than CS hence 50% of IS grads move to banks. Don't feel so butthurt about it, I'm from IS myself and I know how my batchmates compares in terms of technical competencies.. Btw, there's a misconception here. Most of the time, a person with an amazing portfolio would naturally have good gpa. The combination of bad gpa and good portfolio is very limited, probably 1 in 30 or 50. This is a harsh fact that everyone fails to acknowledge.
Click to expand...","its seems that people take numbers at the face value.. When we approach such employment statistics, we need ask what kind of jobs are these graduates taking. Given the same job, is there a salary difference.. Anyway like what ""IAmZTX"" have pointed out, I guess we are off topic for too long.","its seems that people take numbers at the face value when we approach such employment statistics we need ask what kind of jobs are these graduates taking given the same job is there a salary difference anyway like what ""iamztx"" have pointed out i guess we are off topic for too long"
87,SMU IS or SMU BIZ,agenda,"May 30, 2015","lovedoctor said:
No one here is comparing CS to IS. The op is asking for advice on his course based on his interests so stop comparing and stirring up **** here when no one is asking for opinions on CS.. IS students are technically competent and trained to do well at what they do, and no comarison is made to computer science in this topic.. Were you born myopic or plauged with Down's?
Click to expand...","What a smoke bomb. If you can't win, start hurling insults. I wonder what they are teaching the freshies nowadays, do your batchmates a favour. Do not tarnish the reputation that your seniors and I have built over the years.",what a smoke bomb if you can't win start hurling insults i wonder what they are teaching the freshies nowadays do your batchmates a favour do not tarnish the reputation that your seniors and i have built over the years
88,SMU IS or SMU BIZ,Nosferato4,"May 30, 2015","agenda said:
What a smoke bomb. If you can't win, start hurling insults. I wonder what they are teaching the freshies nowadays, do your batchmates a favour. Do not tarnish the reputation that your seniors and I have built over the years.","In the first place, this topic/thread had nothing to do with computer science. You and Mox are going off topic and starting to let your own prejudice affect the choices other's are going to make to select their own degree program based on their interest.. No one is saying if Computer science is better than information Systems or vice versa but somehow this thread has managed to evolve into that.. Do yourself a favor and heed your own advice instead.",in the first place this topic/thread had nothing to do with computer science you and mox are going off topic and starting to let your own prejudice affect the choices other's are going to make to select their own degree program based on their interest no one is saying if computer science is better than information systems or vice versa but somehow this thread has managed to evolve into that do yourself a favor and heed your own advice instead
89,SMU IS or SMU BIZ,firehippo,"May 30, 2015","WestgateTower said:
doesn't matter. I have worked with com science people and when it comes to business acumen, i can tell u they have none .. not even anywhere gd... you can have really amazing technical skills, but if you don't have business acumen, very difficult to survive in the corporate world.",,
90,SMU SIS or SIT Information & Communications Technology,Dansonzy,"Mar 30, 2018", ,"Which school had better environment for poly students?
Which one is easier to Pass all modules ( I know is loser for me to ask but I want to know).
Which 2 school workload is the lightest?. Thank you","which school had better environment for poly students
which one is easier to pass all modules ( i know is loser for me to ask but i want to know)
which 2 school workload is the lightest thank you"
91,SMU SIS or SIT Information & Communications Technology,ben1998,"Mar 30, 2018", ,smu better and more recognized,smu better and more recognized
92,SMU SIS or SIT Information & Communications Technology,Raxxxxxx,"Mar 30, 2018","Dansonzy said:
Which school had better environment for poly students?
Which one is easier to Pass all modules ( I know is loser for me to ask but I want to know).
Which 2 school workload is the lightest?. Thank you","easier to Pass all modules ( I know is loser for me to ask but I want to know).
Which 2 school workload is the lightest?. Thank you","easier to pass all modules ( i know is loser for me to ask but i want to know)
which 2 school workload is the lightest thank you"
93,SMU SIS or SIT Information & Communications Technology,Dansonzy,"Mar 30, 2018","Raxxxxxx said:
Received offer from both already? I think SIT probably has a lesser workload as compared to SMU. But recognition wise, would be SMU",Oh hi you are the one asking SMU interview. How’s your interview? I am in SMU now but haven’t start school yet August .SIT quite good also so I am thinking of changing but had to wait 1 year SIT application closed already.,oh hi you are the one asking smu interview how’s your interview i am in smu now but haven’t start school yet august sit quite good also so i am thinking of changing but had to wait 1 year sit application closed already
94,SMU SIS or SIT Information & Communications Technology,MrSinkie95,"Mar 30, 2018", ,Sit not that stress,sit not that stress
95,SMU SIS or SIT Information & Communications Technology,Dansonzy,"Mar 30, 2018","MrSinkie95 said:
Sit not that stress",I heard from my Friend SIT local degree overload their students .,i heard from my friend sit local degree overload their students 
96,SMU SIS or SIT Information & Communications Technology,Raxxxxxx,"Mar 31, 2018","Dansonzy said:
Oh hi you are the one asking SMU interview. How’s your interview? I am in SMU now but haven’t start school yet August .SIT quite good also so I am thinking of changing but had to wait 1 year SIT application closed already.",t August .SIT quite good also so I am thinking of changing but had to wait 1 year SIT application closed already.,t august sit quite good also so i am thinking of changing but had to wait 1 year sit application closed already
97,SMU SIS or SIT Information & Communications Technology,Raxxxxxx,"Mar 31, 2018","Dansonzy said:
I heard from my Friend SIT local degree overload their students .",riend SIT local degree overload their students .,riend sit local degree overload their students 
98,SMU SIS or SIT Information & Communications Technology,owchan,"Mar 31, 2018","Dansonzy said:
Which school had better environment for poly students?
Which one is easier to Pass all modules ( I know is loser for me to ask but I want to know).
Which 2 school workload is the lightest?. Thank you",epends on what course you take but generally my friends in SMU were more relaxed compared to my SIT friends... They seem way more stressed and worried.,epends on what course you take but generally my friends in smu were more relaxed compared to my sit friends they seem way more stressed and worried
99,SMU SIS or SIT Information & Communications Technology,Dansonzy,"Mar 31, 2018","Raxxxxxx said:
I was told SMU curriculum pretty intense though.","Should be all the same. Too bad both don’t had S/U option
as NUS/NTU","should be all the same too bad both don’t had s/u option
as nus/ntu"
100,SMU SIS or SIT Information & Communications Technology,Dansonzy,"Mar 31, 2018","owchan said:
Depends on what course you take but generally my friends in SMU were more relaxed compared to my SIT friends... They seem way more stressed and worried.",Thank for your reply ..I am taking SIS courses. Lol disgrace to said I chose SMU because it’s nearer to my house.,thank for your reply i am taking sis courses lol disgrace to said i chose smu because it’s nearer to my house
101,SMU SIS or SIT Information & Communications Technology,Dansonzy,"Mar 31, 2018","Raxxxxxx said:
I’m still waiting for it ya. May I know how much you got for CGPA? Did you applied 2years back coz of NS or smth?",Yup NS ..3.50GPA ...i think if you are applying this year & study this year most competitive I think . Some NSF last min apply for uni and girls don’t need serve NS . It comes down the number of students the school willing to take in.,yup ns 350gpa i think if you are applying this year & study this year most competitive i think  some nsf last min apply for uni and girls don’t need serve ns  it comes down the number of students the school willing to take in
102,Information Systems in SMU vs NUS,SampanBoi,"Apr 20, 2018", ,"Hi guys! Would really appreciate opinions regarding NUS IS to SMU IS(M), really cannot decide between the 2. Which school would you guys choose to study IS in and why?. I read about student life, S/U options for NUS etc online. However, will really like additional inputs or personal views maybe from seniors of the mentioned courses. Huge dilemma for me here so will appreciate your help if possible, thanks yall!",hi guys would really appreciate opinions regarding nus is to smu is(m) really cannot decide between the 2 which school would you guys choose to study is in and why i read about student life s/u options for nus etc online however will really like additional inputs or personal views maybe from seniors of the mentioned courses huge dilemma for me here so will appreciate your help if possible thanks yall
103,Information Systems in SMU vs NUS,IAmZTX,"Apr 20, 2018","SampanBoi said:
Hi guys! Would really appreciate opinions regarding NUS IS to SMU IS(M), really cannot decide between the 2. Which school would you guys choose to study IS in and why?. I read about student life, S/U options for NUS etc online. However, will really like additional inputs or personal views maybe from seniors of the mentioned courses. Huge dilemma for me here so will appreciate your help if possible, thanks yall!
Click to expand...","
Doesn't matter man. End of the day when you are inside, you feel like you choose the wrong course. So pick the one which you values most","
doesn't matter man end of the day when you are inside you feel like you choose the wrong course so pick the one which you values most"
104,Information Systems in SMU vs NUS,SampanBoi,"Apr 22, 2018", ,Bumping this thread for more inputs!,bumping this thread for more inputs
105,Information Systems in SMU vs NUS,hysterous97,"Apr 23, 2018","SampanBoi said:
Hi guys! Would really appreciate opinions regarding NUS IS to SMU IS(M), really cannot decide between the 2. Which school would you guys choose to study IS in and why?. I read about student life, S/U options for NUS etc online. However, will really like additional inputs or personal views maybe from seniors of the mentioned courses. Huge dilemma for me here so will appreciate your help if possible, thanks yall!
Click to expand...","
Yo bro, ps couldn't reply via PM.. Imho, I put NUS over SMU bcos of reputation la.. To be very honest, I've heard the study culture at SMU is alot more modern. Meaning, you need to be extroverted, communicate alot, and speak to others, cos SMU promotes inter class comms.. To simply put, if you're the mugger who doesn't talk much to peers go NUS. But if you like communicating, are a go getter, does projects well, likes to be in teams rather than work alone the SMU.. Furthermore, there are words that say, SMU pays higher as a freshgrad in IS/Comp Sci at around $4000ish, as compared to NTU/NUS aat 3.2 3.5K, reason being cos SMU works closer to the outside world, as compared to NUS/NTU where they are more on academics.","
yo bro ps couldn't reply via pm imho i put nus over smu bcos of reputation la to be very honest i've heard the study culture at smu is alot more modern meaning you need to be extroverted communicate alot and speak to others cos smu promotes inter class comms to simply put if you're the mugger who doesn't talk much to peers go nus but if you like communicating are a go getter does projects well likes to be in teams rather than work alone the smu furthermore there are words that say smu pays higher as a freshgrad in is/comp sci at around $4000ish as compared to ntu/nus aat 32 35k reason being cos smu works closer to the outside world as compared to nus/ntu where they are more on academics"
106,Information Systems in SMU vs NUS,MoxLotus,"Apr 24, 2018","hysterous97 said:
Furthermore, there are words that say, SMU pays higher as a freshgrad in IS/Comp Sci at around $4000ish, as compared to NTU/NUS aat 3.2 3.5K, reason being cos SMU works closer to the outside world, as compared to NUS/NTU where they are more on academics.","No longer true. For single degree comparison, the highest paid now is NUS CS (Avg 4.5K).. And there is no Comp Sci in SMU",no longer true for single degree comparison the highest paid now is nus cs (avg 45k) and there is no comp sci in smu
107,Information Systems in SMU vs NUS,hysterous97,"Apr 24, 2018","MoxLotus said:
No longer true. For single degree comparison, the highest paid now is NUS CS (Avg 4.5K).. And there is no Comp Sci in SMU","Ah yas, there's no CS in SMU mybad!",ah yas there's no cs in smu mybad
108,Information Systems in SMU vs NUS,Raxxxxxx,"Apr 24, 2018","MoxLotus said:
No longer true. For single degree comparison, the highest paid now is NUS CS (Avg 4.5K).. And there is no Comp Sci in SMU",s NUS CS (Avg 4.5K).. And there is no Comp Sci in SMU,s nus cs (avg 45k) and there is no comp sci in smu
109,Information Systems in SMU vs NUS,darksiedluv,"Apr 24, 2018","hysterous97 said:
Yo bro, ps couldn't reply via PM.. Imho, I put NUS over SMU bcos of reputation la.. To be very honest, I've heard the study culture at SMU is alot more modern. Meaning, you need to be extroverted, communicate alot, and speak to others, cos SMU promotes inter class comms.. To simply put, if you're the mugger who doesn't talk much to peers go NUS. But if you like communicating, are a go getter, does projects well, likes to be in teams rather than work alone the SMU.. Furthermore, there are words that say, SMU pays higher as a freshgrad in IS/Comp Sci at around $4000ish, as compared to NTU/NUS aat 3.2 3.5K, reason being cos SMU works closer to the outside world, as compared to NUS/NTU where they are more on academics.
Click to expand...",ry to ask your Hiring Manager to give you a higher salary if you have a SMU degree....... Their salary are higher as their students are push to work in the financial industry which pays well.,ry to ask your hiring manager to give you a higher salary if you have a smu degree their salary are higher as their students are push to work in the financial industry which pays well
110,Information Systems in SMU vs NUS,icyboiz,"Apr 24, 2018", ,"i have a friend that graduated from nus IS, he said SMU IS is actually harder to get in as compared to NUS IS. however he's actually a higher earner now. so i dont know man lol",i have a friend that graduated from nus is he said smu is is actually harder to get in as compared to nus is however he's actually a higher earner now so i dont know man lol
111,Information Systems in SMU vs NUS,MoxLotus,"Apr 25, 2018","Raxxxxxx said:
I think SMU getting in CS next year or the year after",Woah ... I wonder how their CS programme gonna be like compared to NUS CS.,woah  i wonder how their cs programme gonna be like compared to nus cs
112,Information Systems in SMU vs NUS,MoxLotus,"Apr 25, 2018","icyboiz said:
i have a friend that graduated from nus IS, he said SMU IS is actually harder to get in as compared to NUS IS. however he's actually a higher earner now. so i dont know man lol","Actually which sch/course u r graduated from doesnt matter, what matters is your skill. With superb skill, you can easily get a 5k starting pay.",actually which sch/course u r graduated from doesnt matter what matters is your skill with superb skill you can easily get a 5k starting pay
113,Information Systems in SMU vs NUS,Brooklyn2615,"May 29, 2018", ,"Life in NUS Information System. Hi,. Recently had accepted NUS Information system during the JAE application. May I know how is the life going to be there?
I heard that is gonna be tough and certainly not hoping that I can score a low GPA in NUS.
I had no prior knowledge to computing beforehand in Poly as I study sciences. cGPA:3.94, L1R4:9 after CCA deduction.
Any seniors are on the same track as me? Any help would be greatly appreciated.","life in nus information system hi recently had accepted nus information system during the jae application may i know how is the life going to be there
i heard that is gonna be tough and certainly not hoping that i can score a low gpa in nus
i had no prior knowledge to computing beforehand in poly as i study sciences cgpa:394 l1r4:9 after cca deduction
any seniors are on the same track as me any help would be greatly appreciated"
114,Information Systems in SMU vs NUS,HolyInnocents,"May 31, 2018", ,"IMO SMU prepares the students for the corporate world but NUS has a better rep, so it rly depends on whether u wna climb the corporate ladder or be a backend programmer (dont show face)",imo smu prepares the students for the corporate world but nus has a better rep so it rly depends on whether u wna climb the corporate ladder or be a backend programmer (dont show face)
115,Information Systems in SMU vs NUS,whuttt,"May 31, 2018","HolyInnocents said:
IMO SMU prepares the students for the corporate world but NUS has a better rep, so it rly depends on whether u wna climb the corporate ladder or be a backend programmer (dont show face)","NUS IS/cs != backend programmer. you got it all wrong. they may do some programming initially. but they move up to becomes analysts / consultants, etc. and nothing to stop them from jumping to other sectors.",nus is/cs = backend programmer you got it all wrong they may do some programming initially but they move up to becomes analysts / consultants etc and nothing to stop them from jumping to other sectors
116,Information Systems in SMU vs NUS,davidktw,"May 31, 2018", ,"SMU or NUS, IS or CS are just branding and focus. Your career is forge by your opportunities, your efforts and your decisions. What is those nonsenses that describe what you end up as having which school or course you go to. If you want to master your skill set and only focus as a developer, that is your choice. If you want to work your way up be an architect, that is your own choice. If you want to just make a quick dip into the IT world and use it as a jumping board to else where or be a business man, that is also your choice. The only think that truly matters is what you want yourself to be, and that include your choice of institutions and faculties. It is what you learn and how you choose to exercise your knowledge that gives you your next options. Get your priorities right",smu or nus is or cs are just branding and focus your career is forge by your opportunities your efforts and your decisions what is those nonsenses that describe what you end up as having which school or course you go to if you want to master your skill set and only focus as a developer that is your choice if you want to work your way up be an architect that is your own choice if you want to just make a quick dip into the it world and use it as a jumping board to else where or be a business man that is also your choice the only think that truly matters is what you want yourself to be and that include your choice of institutions and faculties it is what you learn and how you choose to exercise your knowledge that gives you your next options get your priorities right
117,Information Systems in SMU vs NUS,alexmilo123,"Apr 11, 2019", ,Hello! Has anyone received interview calls for SMU Information Systems AY2019/2020??,hello has anyone received interview calls for smu information systems ay2019/2020
118,Information Systems in SMU vs NUS,BinaryLord,"Dec 10, 2019","MoxLotus said:
No longer true. For single degree comparison, the highest paid now is NUS CS (Avg 4.5K).. And there is no Comp Sci in SMU",may i know where you're getting that numbers from? what about ntu?,may i know where you're getting that numbers from what about ntu
119,SMU SIS OR SIT SOFTWARE ENGINEERING?,Jiamjiam,"Jun 8, 2018", ,"Anyone has been through/is going through either courses?
Please provide some insights!. In a dilemma now.. Can't decide which course to take.. I've heard that SMU SIS students are far less technical.. They don't learn much programming and when they graduate, mostly do consultant roles.","anyone has been through/is going through either courses
please provide some insights in a dilemma now can't decide which course to take i've heard that smu sis students are far less technical they don't learn much programming and when they graduate mostly do consultant roles"
120,SMU SIS OR SIT SOFTWARE ENGINEERING?,yugiohja,"Jun 8, 2018", ,Do you want to learn more technical programming?,do you want to learn more technical programming
121,SMU SIS OR SIT SOFTWARE ENGINEERING?,Jiamjiam,"Jun 8, 2018", ,"Yes, so im wondering if SMU SIS software development track teaches technical programming too.. I went to see the mods but can't really tell if they just teach the surface stuff or in depth programming skills",yes so im wondering if smu sis software development track teaches technical programming too i went to see the mods but can't really tell if they just teach the surface stuff or in depth programming skills
122,SMU SIS OR SIT SOFTWARE ENGINEERING?,carly4song,"Jun 8, 2018", ,"SMU SIS' framework is still partially business, so you will be taking the business related modules while learning some of the programming as well. SIT is known more for learning programming in depth, so I really hope you choose based on what you want to learn more. I get why you are in a dilemma as SMU itself has ""better"" recognition, but please remember what's even more important than the brand is what these universities are known for. SIT will def prepare you with more specialized aspect of software engineering/creating more specialized/complex app while SMU will prepare you more on application of these means you are provided with.. Sorry if it didn't help you much ://","smu sis' framework is still partially business so you will be taking the business related modules while learning some of the programming as well sit is known more for learning programming in depth so i really hope you choose based on what you want to learn more i get why you are in a dilemma as smu itself has ""better"" recognition but please remember what's even more important than the brand is what these universities are known for sit will def prepare you with more specialized aspect of software engineering/creating more specialized/complex app while smu will prepare you more on application of these means you are provided with sorry if it didn't help you much ://"
123,SMU SIS OR SIT SOFTWARE ENGINEERING?,Jiamjiam,"Jun 11, 2018","carly4song said:
SMU SIS' framework is still partially business, so you will be taking the business related modules while learning some of the programming as well. SIT is known more for learning programming in depth, so I really hope you choose based on what you want to learn more. I get why you are in a dilemma as SMU itself has ""better"" recognition, but please remember what's even more important than the brand is what these universities are known for. SIT will def prepare you with more specialized aspect of software engineering/creating more specialized/complex app while SMU will prepare you more on application of these means you are provided with.. Sorry if it didn't help you much ://
Click to expand...",Thank you for your input!! Appreciate it alot,thank you for your input appreciate it alot
124,Is SMU Information Systems degree widely recognized for a better future?,nez,"Apr 22, 2017", ,"My daughter is accepted into SMU Information Systems.
Is this a good international degree widely recognized for a better future?
Hear from a colleague that her daughter is studying there & said all the lously ones with nowhere to go goes there since easy to get in. Is that true?. What jobs are available with that degree?. Please advise. Thanks","my daughter is accepted into smu information systems
is this a good international degree widely recognized for a better future
hear from a colleague that her daughter is studying there & said all the lously ones with nowhere to go goes there since easy to get in is that true what jobs are available with that degree please advise thanks"
125,Is SMU Information Systems degree widely recognized for a better future?,MrSinkie95,"Apr 22, 2017", ,wouldn't say is internationally recognized. it's locally recognized thou.,wouldn't say is internationally recognized it's locally recognized thou
